die Arbeitsstelle,job,,,
der/die Angestellte,employee,,,
die Ausbildung ,job training,,,
der Ausflug,trip,,,
der Beruf,profession ,,,
die Berufsausbildung,professional training,,,
der Geburtsort,place of birth,,,
die Geschichte ,history,,,
die Hauptstadt,capital,,,
der Hunger,hunger,,,
die Idee,idea,,,
der Kindergarten,kindergarden,,,
das Krankenhaus,hospital,,,
der Krankenwagen,ambulance,,,
der Lehrgang,training workshop,,,
das Picknick,picknick,,,
das Programm,program,,,
die Schulbildung,school eduction,,,
der Schluss,end (finally),,,
der Test,test,,,
der Unfall,accident,,,
der Urlaub,holiday,,,
die Umschulung  ,retraining,,,
der Wecker,alarm clock,,,
