der Apparat,telephone,,,
der Arbeitsalltag,work routine,,,
die Arbeitszeit,Work hours,,,
der Betrieb,company,,,
die Bewerbung,application,,,
die Bezahlung,payment,,,
die Erfahrung,experience,,,
der Fehler,mistake,,,
der Führerschein,drivers license ,,,
die Großstadt,big city,,,
die Hand,hand,,,
der Job,job,,,
der/die Kellner/in,waiter,,,
der/die Künstler/in,artist,,,
die Lohnabrechnung,payroll slip,,,
der/die Mechaniker/in,car mechanic,,,
der/die Meister/in,"foreman, master craftsman",,,
der/die Mitarbeiter/in,coworker,,,
die Stadtmitte,"town, city centre ",,,
die Stelle,position,,,
die Stellenanzeige,job ad,,,
der Stundenlohn,hourly wage,,,
das Team,team,,,
die Überstunde,overtime,,,
die Voraussetzend,presuming,,,
der Vorteil,advantage,,,
