der Ausflug,trip,,,
der Bruder,brother,,,
das Datum,date,,,
der Ehemann,husband,,,
die Einladung,invitation,,,
das Fest,party,,,
der/die Freund/in,friend,,,
der Frühling,spring,,,
der Geburtstag,birthday,,,
das Geschenk,present,,,
die Geschwister,siblings,,,
die Gesundheit,health,,,
das Glück,luck,,,
der Glückwunsch,congratualations,,,
die Großeltern,grandparents,,,
die Großmutter,grandmother,,,
der Großvater,grandfather,,,
der Haushalt,household,,,
der Herbst,autumn,,,
die Hochzeit,marriage,,,
der/die Jugendliche,youth,,,
der Monat,month,,,
die Mutter,mother,,,
der Onkel,unclue,,,
die Party,party,,,
das Picknick,picknick,,,
die Schwester,sister,,,
der Sommer,summer,,,
die Tante,aunt,,,
der Vater,father,,,
der/die Verwandte,relative,,,
der Winter,winter,,,
