die Ampel,traffic lights,,,
die Anmeldung,reception,,,
die Auskunft,information,,,
der Ausweis,ID card,,,
die Bahn,tram,,,
der Bahnhof,station,,,
die Bank,bank,,,
der Fahrplan,bus/train schedule,,,
das Gehalt,salary,,,
der Hauptbahnhof,main station,,,
die Jugendherberge,youth hostel,,,
die Kantine,canteen,,,
der Kilometer,kilometer,,,
die Kirche,church,,,
die Kreuzung,crossing,,,
die Monatskarte,monthly pass,,,
die Nähe,neighbourhood,,,
der Pass,passport,,,
das Personalbüro,personel department,,,
der Platz,square,,,
die Richtung,direction,,,
die S-Bahn,commuter train,,,
die Sparkasse,savings bank,,,
der Stadtplan,city,,,
das Stadtzentrum,city center,,,
die Station,station,,,
die Straßenbahn,tram,,,
das Taxi,taxi,,,
das Ticket,ticket,,,
der/die Tourist/in,tourist,,,
die U-Bahn,subway,,,
der Verkehr,traffic,,,
der Weg,route,,,
der Zug,train,,,
